,Opening,Win,WinRate
0,Italian Game,1-0,0.17760180995475114
1,Italian Game,0-1,0.11764705882352941
2,Modern Defense with 1 e4 2.d4 Bg7 3.Nf3,1-0,0.11538461538461539
3,Philidor Defense 3.Bc4,1-0,0.10633484162895927
4,Kings Pawn Opening Kings Knight Variation,1-0,0.09841628959276018
5,Philidor Defense 3.Bc4,0-1,0.09615384615384616
6,Modern Defense with 1 e4 2.d4 Bg7 3.Nf3,0-1,0.09502262443438914
7,Kings Pawn Opening Kings Knight Variation,0-1,0.0667420814479638
8,Kings Pawn Opening 1...e5,0-1,0.06561085972850679
9,Kings Pawn Opening 1...e5,1-0,0.06108597285067873
